id,question,answer,category,keywords
BTC_001,Who can donate to A+ blood type?,"A+ patients can receive blood from A+, A-, and O+ donors. They can donate to A+ and AB+ patients. A+ is one of the most common blood types.",blood_type_compatibility,"A+, donor, recipient, blood type"
BTC_002,Who can donate to B+ blood type?,"B+ patients can receive blood from B+, B-, and O+ donors. They can donate to B+ and AB+ patients.",blood_type_compatibility,"B+, donor, recipient, blood type"
BTC_003,Who can donate to AB+ blood type?,"AB+ is the universal recipient. They can receive blood from any blood type: A+, A-, B+, B-, AB+, AB-, O+, and O-. However, they can only donate to other AB+ patients.",blood_type_compatibility,"AB+, universal recipient, donor, blood type"
BTC_004,Who can donate to O+ blood type?,"O+ patients can only receive blood from O+ and O- donors. However, O+ is a universal donor for all positive blood types (A+, B+, AB+, O+). About 37% of the population has O+ blood.",blood_type_compatibility,"O+, universal donor, recipient, blood type"
BTC_005,Who can donate to A- blood type?,"A- patients can receive blood from A- and O- donors. They can donate to A+, A-, AB+, and AB- patients. A- is relatively rare, with only about 6% of the population having this type.",blood_type_compatibility,"A-, donor, recipient, rare blood type"
BTC_006,Who can donate to B- blood type?,"B- patients can receive blood from B- and O- donors. They can donate to B+, B-, AB+, and AB- patients. B- is rare, with about 2% of the population having this type.",blood_type_compatibility,"B-, donor, recipient, rare blood type"
BTC_007,Who can donate to AB- blood type?,"AB- patients can receive blood from AB-, A-, B-, and O- donors. They can donate to both AB+ and AB- patients. AB- is the rarest blood type, with only about 1% of the population having it.",blood_type_compatibility,"AB-, rarest blood type, donor, recipient"
BTC_008,Who can donate to O- blood type?,"O- is the universal donor. O- patients can only receive blood from O- donors, but they can donate to ALL blood types (A+, A-, B+, B-, AB+, AB-, O+, O-). O- is crucial for emergencies and newborns.",blood_type_compatibility,"O-, universal donor, emergency, newborns"
BTC_009,What is the universal donor blood type?,O- (O Negative) is the universal donor. People with O- blood can donate to anyone regardless of the recipient's blood type. This makes O- blood extremely valuable in emergencies when there's no time to determine the patient's blood type.,blood_type_compatibility,"universal donor, O-, emergency"
BTC_010,What is the universal recipient blood type?,AB+ (AB Positive) is the universal recipient. People with AB+ blood can receive blood from any blood type. They are the only group that can receive all blood types safely.,blood_type_compatibility,"universal recipient, AB+, receive blood"
BTC_011,What is the rarest blood type?,"The rarest blood type is AB-, found in only about 1% of the population. The most common blood type is O+, found in about 37% of people globally. In Pakistan, B+ is the most common blood type.",blood_type_compatibility,"rarest blood type, AB-, common blood type"
BTC_012,Can O+ donate to A+?,"No. O+ can only donate to other positive blood types: A+, B+, AB+, and O+. O+ cannot donate to negative blood types (A-, B-, AB-, O-) because the Rh factor (+) would cause a reaction in Rh- recipients.",blood_type_compatibility,"O+, A+, donate, Rh factor"
BTC_013,Can A- donate to A+?,Yes. A- can donate to A+ and AB+ patients. The Rh-negative blood can safely be given to Rh-positive recipients.,blood_type_compatibility,"A-, A+, donate, Rh negative"
BTC_014,What blood type is most needed?,"O- is always in highest demand because it's the universal donor, critical for emergencies and newborns. O+ is also frequently needed because it's the most common type and can donate to all positive types. AB plasma is always needed as the universal plasma donor.",blood_type_compatibility,"most needed, O-, O+, AB plasma, demand"
ER_001,What are the basic eligibility requirements for blood donation?,"Basic requirements according to WHO and Red Cross guidelines: Age 18-65 years (some centers accept 17-66), weight at least 50 kg (110 lbs), good general health, no cold/flu symptoms, hemoglobin level ≥12.5 g/dL for women and ≥13.0 g/dL for men, valid government-issued ID (CNIC in Pakistan). You must feel well and healthy on donation day.",eligibility_requirements,"eligibility, requirements, WHO, age, weight, hemoglobin"
ER_002,What is the minimum age for blood donation?,"The minimum age is 18 in most countries. Some centers accept 17-year-olds with parental consent. In Pakistan, the legal minimum age is 18 years. There is no upper age limit if you're healthy; many regular donors are 65+.",eligibility_requirements,"minimum age, 18, 17, Pakistan"
ER_003,What is the maximum age for blood donation?,"There is no strict upper age limit according to WHO guidelines. Healthy adults over 65 can continue donating if they meet all health criteria. Many blood centers allow donations up to age 70 or beyond with physician approval. The focus is on health status, not age.",eligibility_requirements,"maximum age, 65, 70, WHO, health status"
ER_004,What is the minimum weight for blood donation?,"The minimum weight is 50 kg (110 lbs) according to WHO standards. This requirement exists because the standard blood collection is 450 mL, and lower body weight may not tolerate this volume loss safely. If you weigh less than 50 kg, you may not be eligible.",eligibility_requirements,"minimum weight, 50 kg, 110 lbs, WHO"
ER_005,Can I donate blood if I'm underweight?,"If you weigh less than 50 kg (110 lbs), you cannot donate whole blood. This is a safety requirement. Some centers may allow lower-weight donors to donate platelets or plasma instead, which collect smaller volumes. Focus on reaching a healthy weight first.",eligibility_requirements,"underweight, 50 kg, platelets, plasma"
ER_006,What hemoglobin level is required for blood donation?,"According to WHO guidelines, men must have hemoglobin ≥13.0 g/dL, and women must have ≥12.5 g/dL. This minimum ensures the donor has enough red blood cells to safely give blood without becoming anemic. Hemoglobin is tested before every donation using a finger-prick test.",eligibility_requirements,"hemoglobin, 13.0 g/dL, 12.5 g/dL, WHO, anemia"
ER_007,What if my hemoglobin is too low to donate?,"If your hemoglobin is below the minimum (13.0 g/dL for men, 12.5 g/dL for women), you'll be deferred from donating. This is for your safety. To increase hemoglobin: eat iron-rich foods (red meat, spinach, lentils), take iron supplements, avoid tea/coffee with meals, and include Vitamin C in your diet to aid iron absorption.",eligibility_requirements,"low hemoglobin, deferred, iron, diet, supplements"
ER_008,What are the health requirements for blood donation?,"You must be in good general health with no acute illness. Your blood pressure should be within normal range (typically below 180/100), body temperature normal (oral temperature not exceeding 37.5°C/99.5°F), pulse normal (60-100 beats per minute), and no signs of infection. You should feel well on donation day.",eligibility_requirements,"health requirements, blood pressure, temperature, pulse, infection"
ER_009,Can I donate blood if I have high blood pressure?,"Yes, if your blood pressure is well-controlled with medication and is below 180/100 mmHg at the time of donation. Bring your medication list. Many people with controlled hypertension donate regularly. However, if your blood pressure is elevated at the screening, you'll be asked to return when it's controlled.",eligibility_requirements,"high blood pressure, hypertension, medication, 180/100"
ER_010,Can I donate blood if I have diabetes?,"Most diabetics can donate if their condition is well-managed. Those managing diabetes through diet or oral medication are usually eligible. People using insulin may donate if their diabetes is well-controlled, though some centers have specific policies. You should not donate if you've had diabetes complications or have had hypoglycemic episodes recently.",eligibility_requirements,"diabetes, insulin, oral medication, complications"
ER_011,Can I donate blood if I have low blood pressure?,"If you have low blood pressure (hypotension) but feel well and have no symptoms like dizziness, you may be eligible. The focus is on how you feel and function. If your low blood pressure causes symptoms, donation might not be safe for you.",eligibility_requirements,"low blood pressure, hypotension, dizziness, symptoms"
ER_012,Can I donate blood if I'm anemic?,"No, you cannot donate if you're anemic. Anemia means your hemoglobin is already low, and donating would reduce it further to unsafe levels. Focus on treating the anemia first through diet, supplements, or medical treatment. Once your hemoglobin meets the minimum requirement, you can donate.",eligibility_requirements,"anemic, anemia, hemoglobin, deferred"
ER_013,Can I donate blood if I have thyroid problems?,"If you have hypothyroidism or hyperthyroidism that is well-controlled with medication, you can usually donate. Your TSH levels should be within normal range. Bring your medication information. If your thyroid condition is not well-controlled, you'll need to wait until it is stabilized.",eligibility_requirements,"thyroid, hypothyroidism, hyperthyroidism, TSH, medication"
MCM_001,Can I donate blood if I have a tattoo?,"According to WHO and Red Cross guidelines, you may need to wait 3-12 months after getting a tattoo, depending on local regulations. This is due to hepatitis risk. In many countries, if your tattoo was applied at a licensed, regulated facility using sterile equipment, the waiting period may be reduced to 3 months. In Pakistan, the standard waiting period is typically 6-12 months.",medical_conditions_medications,"tattoo, waiting period, hepatitis, Pakistan, 3 months, 12 months"
